	content	id-snippet	count_countries	mentions_countries
75	title xvi iran iraq arms non proliferation act of   iran iraq arms non proliferation act of   states that it shall be u s policy to oppose and urgently seek the agreement of other nations to oppose the transfer to iran or iraq of goods or technology including dual use goods or technology whenever such transfer could contribute to either country s acquiring chemical biological nuclear or destabilizing numbers and types of advanced conventional weapons directs the president to apply to iran and iraq as well as countries assisting them in acquiring weapons of mass destruction all of the applicable sanctions and controls available to the united states under all applicable acts laws and statutes regarding the non proliferation of weapons of mass destruction and the means of their delivery directs the president to   urgently seek the agreement of other nations to adopt and institute such sanctions and controls as are comparable to those of the united states and   identify publicly any country or person that transfers goods or technology to iran or iraq in a manner contrary to stated policy provides that sanctions against iraq under the iraq sanctions act of   shall apply to iran in the same manner prohibits for two years u s procurement of goods from and approval of export licenses for any person transferring goods or technology so as to contribute to iran or iraq s acquisition of destabilizing numbers and types of advanced conventional weapons authorizes the president for any period of time to prohibit the importation of any articles which are the product manufacture or growth of the sanctioned person provides identical mandatory and discretionary sanctions against the government of any foreign country that transfers goods or technology to contribute to iran or iraq s acquisition of destabilizing numbers and types of advanced conventional weapons imposes the following mandatory sanctions against foreign country violators   suspension of u s assistance for one year   opposition to the extension of financial or technical assistance by international financial institutions for one year   suspension for one year of u s obligations under any memorandum of understanding for the codevelopment or coproduction of items on the u s munitions list   suspension for one year of any technical exchange agreement involving military and dual use technology and   prohibition for one year of exportation to such country of any item on the u s authorizes the president to impose the following discretionary sanctions with respect to foreign governments   suspension of most favored nation status and   prohibition on transactions involving property in which the sanctioned country has an interest except for urgent humanitarian assistance waives any sanction under this act if the president reports to the appropriate congressional committees that such sanction would jeopardize national security interests requires the president to report annually to such committees on any transfers made and sanctions taken 	hr5006-102.2	9	 iraq
76	title xvii cuban democracy act of   cuban democracy act of   sets forth u s policy with respect to cuba prohibits   vessels carrying goods or passengers to or from cuba or carrying goods in which a cuban national has an interest from entering a u s port except as authorized by the secretary of the treasury and   specified commodities authorized to be exported under a general license from being exported under such a license to any such vessels directs the president to establish strict limits on remittances to cuba by u s persons for purposes of financing the travel of cubans to the united states to assure that such remittances are not used by the cuban government as a means of gaining access to u s currency declares that food medicine and medical supplies for humanitarian purposes should be made available to cuba under the foreign assistance act of   and the agricultural trade development and assistance act of   if the president certifies to the house foreign affairs committee and the senate foreign relations committee that the government of cuba   has made a commitment to hold free and fair elections for a new government within six months and is proceeding to implement that decision   has made a commitment to respect and is respecting human rights and basic democratic freedoms and   is not providing weapons or funds to any group in any other country that seeks the violent overthrow of the government of such country waives sanctions against cuba under this act if the president reports to the congress that cuba   has held free and fair elections conducted under internationally recognized observers   has permitted opposition parties ample time to campaign for such elections and has permitted full access to the media to all candidates   is showing respect for basic civil liberties and human rights   is moving toward establishing a free market economic system and   has committed itself to constitutional change that would ensure regular free and fair elections requires the president if he makes such report to take the following actions with respect to a freely elected cuban government   encourage the admission of such government to international organizations and financial institutions   provide emergency relief during cuba s transition to a viable economic system and   take steps to end the u s trade embargo of cuba requires the u s postal service to provide direct mail service to and from cuba authorizes the president to provide assistance to promote nonviolent democratic change in cuba prohibits the issuance of licenses for certain transactions between u s controlled firms in third countries and cuba prohibits vessels which enter cuba to engage in trade from loading or unloading any freight in the united states within   days after departure from cuba 	hr5006-102.3	20	 cuba
77	prohibits any dod prime contract in excess of the small purchase threshold from being awarded to any foreign person company or entity unless such entity certifies to the secretary that it does not comply with the secondary arab boycott of israel authorizes the secretary to waive such prohibition in specific instances when necessary for national security requiring notice to the congress of each such waiver provides other exceptions to such prohibition 	hr5006-102.4	1	 israel
78	prohibits the secretary from procuring a sonobuoy in a foreign country unless u s firms that manufacture sonobuoys are permitted to compete on an equal basis with foreign manufacturing firms for the sale of such buoys in that foreign country provides a waiver in the interest of national security 	hr5006-102.5	0	None
79	subtitle b findings and program authority authorizes the president to establish and conduct programs to assist in the demilitarization of the independent states of the former soviet union states that such programs shall include the transportation storage safeguarding and destruction of weapons of mass destruction as well as the conversion of weapons related scientific expertise technologies and capabilities into appropriate civilian activities prohibits any such u s assistance unless the president certifies annually to the congress that the recipient country is committed to destroying its weapons of mass destruction forgoing any nuclear weapons or military modernization programs and facilitating u s verification of any weapons destruction carried out 	hr5006-102.6	0	None
80	prohibits the use of funds appropriated by this act to provide assistance to any country that is not in compliance with the united nations security council sanctions against iraq unless the president certifies to the congress that such assistance   is in the u s national interest   will directly benefit the needy people in such country or   will be humanitarian assistance for foreign nationals who have fled iraq and kuwait authorizes the president to prohibit the importation into the united states of products of any foreign country that has not prohibited the importation of iraqi products and the export of its products to iraq 	hr5368-102.1	5	 kuwait iraq
81	authorizes the president to direct the drawdown of defense articles and services and military education and training for cambodia and laos to support efforts to locate and repatriate members of the u s armed forces and civilians employed by the u s government who remain unaccounted for from the vietnam war and to support humanitarian projects associated with pow mia efforts authorizes appropriations 	hr5368-102.2	1	 laos
82	prohibits foreign military financing for zaire sudan liberia somalia guatemala peru and malawi 	hr5368-102.3	6	 sudan guatemala somalia peru malawi liberia
83	limits   the amount of foreign military financing for the procurement of defense articles and services not sold by the u s government for countries other than israel and egypt   the amount of funds for administering military assistance and sales   foreign military financing for greece turkey and portugal and   obligations with respect to the special defense acquisition fund permits the procurement of defense articles and services or design and construction services not sold by the u s government only by countries for which assistance was justified for the foreign military financing program in the fy   congressional presentation for security assistance programs 	hr5368-102.4	4	 israel greece portugal egypt
84	provides for u s opposition to assistance to terrorist countries by international financial institutions prohibits bilateral assistance to such countries 	hr5368-102.5	0	None
85	expresses the sense of the congress that the president should instruct the u s representatives to the imf and world bank to provide financial and technical assistance to armenia 	hr5368-102.6	1	armenia 
86	directs the president to report to the appropriate congressional committees that the united states has entered into serious discussions with russia to reduce exports of conventional weapons to iran and to prevent sales to iran of destabilizing numbers and types of such weapons prohibits assistance to russia under this act unless the report has been made or it is in the national interest 	hr5368-102.7	0	None
87	authorizes the president to transfer a specified dollar amount of defense articles to bosnia herzegovina if he certifies to the congress that   such articles would assist that nation in self defense and promote security and stability and   u s allies are prepared to join in a military assistance effort 	hr5368-102.8	0	None
88	authorizes development and esf assistance for guatemala for fy   to be   provided to and used only by civilian government agencies and nongovernmental organizations   used for costs of retraining relocation and reemployment in civilian pursuits of former combatants and noncombatants affected by the conflict in guatemala and   used for costs of monitoring activities associated with specified peace accords requires such assistance to be targeted for assistance for programs that address poverty basic needs and environmental concerns to improve the performance of democratic institutions or to promote pluralism for the national reconciliation commission for fiscal reform and administration or for programs that promote trade and investment prohibits the use of such assistance for partisan political purposes or as an instrument of counterinsurgency releases funds for retraining relocation and reemployment of individuals affected by the conflict and for the monitoring of peace accords only upon notification by the president to the appropriate congressional committees that the guatemalan government and representatives of the guatemalan national revolutionary unity urng have signed an agreement providing for a lasting peace agreement directs the president prior to submitting any notification for assistance for guatemala in fy   to take into consideration guatemala s progress toward eliminating human rights violations and in investigating and bringing to trial those responsible for major human rights cases 	hr5368-102.9	6	 guatemala
89	prohibits any funds made available by this act to carry out the foreign assistance act of   or the arms export control act to be made available for jordan unless the president certifies to the congress that   jordan has taken steps to advance the peace process in the middle east   jordan is in compliance with united nations sanctions against iraq and   such assistance is in the u s national interest 	hr5368-102.10	4	iraq  jordan
90	prohibits making any of the funds appropriated under this act available to finance indirectly any assistance or reparations to cuba iraq libya vietnam iran syria north korea china laos jordan or yemen unless the president certifies that the withholding of these funds is contrary to the national interest of the united states 	hr5368-102.11	7	syria  china jordan libya laos cuba iraq
91	amends the arms export control act to extend waiver authority with respect to reciprocal leasing agreements through fy   requires delivery of defense equipment permitted under special authority during unforeseen emergencies within   days of congressional notification sets forth additional notification requirements with respect to the transfer of excess defense equipment to nato 	hr5368-102.12	0	None
92	sets forth exceptions to such requirement expresses the sense of the congress that   the arab league countries should renounce the primary boycott of israel and the secondary and tertiary boycotts of american firms that have commercial ties with israel and   the president should take certain steps to renounce such boycotts consider a country s participation in such boycotts when determining whether to sell weapons to the country and encourage u s trading partners to prohibit businesses from complying with such boycotts 	hr5368-102.13	2	 israel
93	prohibits funds appropriated by this act to be obligated or expended to provide   any financial incentive to a business enterprise currently located in the united states for purposes of inducing such enterprise to relocate outside the united states if such incentive is likely to reduce the number of employees in the united states because u s production is being replaced by the enterprise outside the united states   assistance for developing any export processing zone or area in a foreign country in which the tax tariff labor environment and safety laws of that country do not apply to activities in the zone unless the president certifies that such assistance is not likely to cause a loss of jobs within the united states or   assistance for any project that contributes to violations of internationally recognized workers rights 	hr5368-102.14	0	None
94	directs the president to report to the congress when such equipment is used for such purposes permits the commercial leasing of defense articles other than major defense equipment by israel egypt nato countries and major non nato allies if the president determines that there are compelling foreign policy or national security reasons for those defense articles being provided by commercial lease rather than by government to government sale 	hr5368-102.15	2	 egypt israel
95	earmarks esf and development assistance available for humanitarian and development assistance for cambodian civilians terminates assistance to any cambodian organization that is cooperating with the khmer rouge in their military operations requires the president to   conduct an onsite assessment within cambodia to determine the requirements for the development of infrastructure and for the eradication of explosive mines and   report to the speaker of the house and the president of the senate on violations of the united nations peace agreement by the khmer rouge and u s responses to such violations 	hr5368-102.16	0	None
96	expresses the sense of the congress that the recommended levels of esf assistance for egypt and israel are based on their continued participation in the camp david accords and upon the egyptian israeli peace treaty 	hr5368-102.17	4	 israel egypt
97	prohibits esf assistance to zaire 	hr5368-102.18	0	None
98	limits the amount of esf assistance for tied aid credits and for peru 	hr5368-102.19	1	 peru
99	withholds a specified amount of funds allocated for the dominican republic until the president reports to the appropriations committees on the steps taken by the government of the dominican republic to improve respect for human rights of haitian laborers engaged in the dominican republic s sugar cane harvesting industry 	hr5368-102.20	4	None
